Hotel Name,Place,description,Condition,Rating,Total Reviews
Treebo Trend Celebrity Hotels And Suites,"Electronic City, Bangalore","Located in Bangalore, 13 km from Forum Mall, Koramangala, Treebo Trend Celebrity Hotels And Suites provides accommodation with free WiFi and free private parking.",Very good,8.2,37 reviews
Sterling Keys by TGI,"Bellandur, Bangalore","Featuring 3-star accommodation, Sterling Keys by TGI is set in Bangalore, 7.3 km from The Heritage Centre & Aerospace Museum and 7.9 km from Forum Mall, Koramangala.",Very good,8.5,17 reviews
Anuraag,Bangalore,"Situated 6.9 km from ISKCON Hare Krishna Temple, 13 km from Bull Temple and 16 km from Bangalore City Railway Station, Anuraag features accommodation set in Bangalore.",Superb,9.2,4 reviews
SLNS RESIDENCY,"Peenya, Bangalore","Featuring 3-star accommodation, SLNS RESIDENCY is located in Bangalore, 6.8 km from Yeswanthpur Railway Station and 7.8 km from Indian Institute of Science, Bangalore.",Review score,4,2 reviews
Flagship Elite Stay Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"JP Nagar, Bangalore",Travel Sustainable property,Review score,2.3,10 reviews
OYO Townhouse 093 Ramamurthy Nagar Near Baiyappanahalli Metro Station,Bangalore,"Featuring 4-star accommodation, OYO Townhouse 093 Ramamurthy Nagar Near Baiyappanahalli Metro Station is situated in Bangalore, 8.9 km from Commercial Street and 10 km from Brigade Road.",Review score,3.8,43 reviews
Flagship Hotel Golden Paradise Near Pattanagere Metro Station,Bangalore,"Featuring 3-star accommodation, Flagship Hotel Golden Paradise Near Pattanagere Metro Station is situated in Bangalore, 7.1 km from ISKCON Hare Krishna Temple and 9 km from Bull Temple.",Review score,6.5,12 reviews
SQUARE INN,Bangalore,"Situated in Bangalore, 32 km from Indian Institute of Science, Bangalore, SQUARE INN features accommodation with a fitness centre, free private parking, a garden and a terrace.",Review score,6.7,23 reviews
"Villa de Dunes 369, Casablanca, One Bed Room Stay near Electronic City with all amenities","Bommasandra, Bangalore","Set in Bangalore in the Karnataka region, Villa de Dunes 369, Casablanca, One Bed Room Stay near Electronic City with all amenities features a balcony and garden views.",Exceptional,9.5,4 reviews
Shoba Suites-Kammanahalli,"Kalyan Nagar, Bangalore","Shoba Suites is situated within a 1 km radius of restaurants and eateries, and is just 6 km from the shopping and entertainment options at Mahatma Gandhi Road.",Review score,6.1,20 reviews
Hotel harsha residency,Bangalore,"Set in Bangalore, 24 km from Indian Institute of Science, Bangalore, Hotel harsha residency offers accommodation with a terrace, free private parking and a restaurant.",Exceptional,10,2 reviews
SM Rooms HSR Layout,"HSR Layout, Bangalore",Travel Sustainable property,Review score,6.5,34 reviews
Capital O Sunny Stays Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"BTM Layout, Bangalore",Travel Sustainable property,Good,7.7,7 reviews
Hotel Blue Bell,"Peenya, Bangalore","Hotel Blue Bell provides accommodation in Bangalore. Popular points of interest nearby include Indian Institute of Science, Bangalore, Bangalore Palace and Indira Gandhi Musical Fountain Park.",Review score,6.9,18 reviews
Flagship M Suites,Bangalore,Travel Sustainable property,Good,7,1 review
Brahma Inn,Bangalore,"Set in Bangalore, 6.1 km from Forum Mall, Koramangala, Brahma Inn offers accommodation with a terrace, free private parking and a restaurant.",Good,7.3,6 reviews
OYO Flagship 80810 Sobha Suites,"HSR Layout, Bangalore","Offering air-conditioned rooms in the HSR Layout district of Bangalore, OYO Flagship 80810 Sobha Suites is 3.9 km from Forum Mall, Koramangala.",,,
Pleasant Boulevard MG road,"Ulsoor, Bangalore","Attractively located in the centre of Bangalore, Pleasant Boulevard MG road features free WiFi throughout the property, a fitness centre and free private parking for guests who drive.",Very good,8.4,9 reviews
SPOT ON Sri Ranganatha Boarding And Lodging,Bangalore,"Featuring 3-star accommodation, SPOT ON Sri Ranganatha Boarding And Lodging is located in Bangalore, 11 km from Bangalore City Railway Station and 13 km from Yeswanthpur Railway Station.",Review score,2.5,2 reviews
SQUARSTAY HOTEL,"Electronic City, Bangalore","Featuring city views, a terrace and free WiFi, SQUARSTAY HOTEL is located in Bangalore, 6.9 km from Forum Mall, Koramangala and 11 km from Brigade Road.",Exceptional,9.5,4 reviews
Itsy By Treebo - Golden Grand Inn,Bangalore,"Featuring 3-star accommodation, Itsy By Treebo - Golden Grand Inn is situated in Bangalore, 10 km from Bull Temple and 10 km from Bangalore City Railway Station.",Review score,6.9,36 reviews
Our Native Village,Bangalore,Travel Sustainable property,Good,7.3,70 reviews
Parkway Home by JadeCaps-4bhk at Trinity Circle,"MG Road, Bangalore",Travel Sustainable property,Exceptional,10,3 reviews
S K RESIDENCY,"Koramangala, Bangalore","Featuring 5-star accommodation, S K RESIDENCY is set in Bangalore, 3.2 km from Forum Mall, Koramangala and 6.4 km from Brigade Road.",Review score,5.2,19 reviews
Orel Inn,"BTM Layout, Bangalore","Situated in Bangalore and with Forum Mall, Koramangala reachable within 2.2 km, Orel Inn features concierge services, non-smoking rooms, a fitness centre, free WiFi throughout the property and a...",Review score,6.3,13 reviews
Jagadish Hotel Jayanagar,"Jayanagar, Bangalore","Offering air-conditioned rooms in the Jayanagar district of Bangalore, Jagadish Hotel Jayanagar is 3.7 km from Bull Temple.",Review score,5.1,19 reviews
FabHotel Spiro Grand,Bangalore,Travel Sustainable property,Good,7.3,19 reviews
Citrine,"Sheshadripuram, Bangalore","Offering 3 dining options, Citrine is located just 1 km from the Bangalore Railway Station. Free Wi-Fi access is available in the public areas of the property.",Good,7.6,25 reviews
The Pine Loft,Bangalore,"Featuring garden views, The Pine Loft provides accommodation with a garden, a shared lounge and a restaurant, around 30 km from Yeswanthpur Railway Station.",Fabulous,8.9,7 reviews
Treebo Trend Status Executive Rooms,Bangalore,"Featuring 2-star accommodation, Treebo Trend Status Executive Rooms is set in Bangalore, 6 km from Brigade Road and 8 km from Commercial Street.",Review score,5.1,30 reviews
PANCHAMI COMFORTS,Bangalore,Travel Sustainable property,Very good,8.3,9 reviews
"Cozy, spacious Penthouse",Bangalore,"Boasting city views, Cozy, spacious Penthouse offers accommodation with a terrace and a balcony, around 4.3 km from Commercial Street. It is set 5 km from Chinnaswamy Stadium and provides room...",,,
The 4th Block Oasis,"Koramangala, Bangalore","Set in Bangalore, 3 km from Forum Mall, Koramangala and 6.1 km from Brigade Road, The 4th Block Oasis offers free WiFi and air conditioning.",,,
SPOT ON Sajjan Comfort Near Lalbagh Botanical Garden,Bangalore,"Located in Bangalore, 1.6 km from Bangalore City Railway Station, SPOT ON Sajjan Comfort Near Lalbagh Botanical Garden provides rooms with air conditioning.",,,
SPOT ON Gayatri Comforts,"Yelahanka, Bangalore","Situated 13 km from Yeswanthpur Railway Station, SPOT ON Gayatri Comforts offers 2-star accommodation in Bangalore and has a shared lounge.",Review score,3,21 reviews
"Villa De Dunes 369, Orchid, One Bed Room Stay near Electronic City with all amenities","Bommasandra, Bangalore","Located 22 km from Brigade Road and 23 km from Chinnaswamy Stadium in Bangalore, Villa De Dunes 369, Orchid, One Bed Room Stay near Electronic City with all amenities offers accommodation with a...",,,
Mangal Murti Signature,Bangalore,"Located in Bangalore in the Karnataka region, Mangal Murti Signature has a balcony. The apartment features a terrace, 1 bedroom, a living room and a well-equipped kitchen.",,,
OYO 24259 Hotel Blue Inn,Bangalore,Travel Sustainable property,Review score,2.9,47 reviews
OYO Sree Lakshmi Residency Near Hare Krishna Hill,"Yeshwantpur, Bangalore","Offering air-conditioned rooms in the Yeshwantpur district of Bangalore, OYO Sree Lakshmi Residency Near Hare Krishna Hill is 1.1 km from Yeswanthpur Railway Station.",Review score,2.6,22 reviews
Veekay Residency,"Yeshwantpur, Bangalore","Located in Bangalore, within 400 metres of Yeswanthpur Railway Station and 2.8 km of Indian Institute of Science, Bangalore, Veekay Residency provides accommodation with a terrace and free WiFi as...",Review score,5.5,22 reviews
Apartment Home Stay,"Brookefield, Bangalore","Apartment Home Stay is located in the Brookefield district of Bangalore, 15 km from Commercial Street, 16 km from Brigade Road and 17 km from Chinnaswamy Stadium.",Superb,9,2 reviews
SM Rooms HSR Layout,"HSR Layout, Bangalore",Travel Sustainable property,Review score,6.5,34 reviews
"Los comunes @ Shibani's Corner, Brookefields","Brookefield, Bangalore","Set in Bangalore, 5.1 km from The Heritage Centre & Aerospace Museum and 14 km from Brigade Road, Los comunes @ Shibani's Corner, Brookefields offers garden views and free WiFi.",Review score,1,1 review
NEW CRESCENT CITADEL,Bangalore,"Set in Bangalore, 3.4 km from The Heritage Centre & Aerospace Museum, NEW CRESCENT CITADEL offers accommodation with a garden, free private parking, a terrace and a restaurant.",Review score,5.1,14 reviews
OYO Townhouse 159 Sarjapur,Bangalore,"Situated in Bangalore, within 7.9 km of The Heritage Centre & Aerospace Museum and 11 km of Forum Mall, Koramangala, OYO Townhouse 159 Sarjapur features accommodation with a shared lounge and free...",Review score,5.4,38 reviews
Itsy By Treebo - Royal Comfort,Bangalore,"1.3 km from Forum Mall, Koramangala, Itsy By Treebo - Royal Comfort is situated in Bangalore and features air-conditioned rooms.",Review score,6.7,22 reviews
Checkin Residency,Bangalore,"16 km from Commercial Street, Checkin Residency is located in Bangalore and provides air-conditioned rooms.",Review score,2,1 review
Srinidhi Residency Murugeshpalya,Bangalore,"Located 3.5 km from The Heritage Centre & Aerospace Museum, Srinidhi Residency Murugeshpalya provides accommodation with free WiFi and free private parking.",Review score,5.6,10 reviews
Living Tree Inn,"Nagavara, Bangalore","Situated in Bangalore, within 7 km of Bangalore Palace and 7.5 km of Commercial Street, Living Tree Inn features accommodation with a terrace and as well as free private parking for guests who drive.",Review score,6.4,13 reviews
Luxury Stay Near Bengaluru Airport KIAL,Bangalore,Travel Sustainable property,Exceptional,10,1 review
THE NISARGA GRAND,Bangalore,"Located in Bangalore, 11 km from Yeswanthpur Railway Station, THE NISARGA GRAND provides accommodation with a garden, free private parking, a terrace and a restaurant. This 2-star hotel offers a bar.",Good,7.5,30 reviews
Treebo Trend Kings Suits HSR Layout,"HSR Layout, Bangalore","Offering free WiFI, Treebo Trend Kings Suits HSR Layout is situated in HSR Layout, Bangalore. Around 5 km from Forum Mall, Koramangala, the property is also 9 km away from Brigade Road.",Good,7.2,83 reviews
DivBnB homes,"Whitefield, Bangalore","Set in Bangalore in the Karnataka region, DivBnB homes offers accommodation with free WiFi and free private parking.",Very good,8.1,10 reviews
FabExpress Manyu Inn,"HSR Layout, Bangalore",Travel Sustainable property,Review score,6.5,76 reviews
Hotel Urban Jade,Bangalore,"Situated 3.9 km from The Heritage Centre & Aerospace Museum, Hotel Urban Jade offers 4-star accommodation in Bangalore and has a fitness centre, a terrace and a restaurant.",Review score,6.3,48 reviews
RVR Abode -Private Rooms,Bangalore,"Located in Bangalore, RVR Abode -Private Rooms provides free WiFi, and guests can enjoy free bikes, a garden and a shared lounge. Guests at the homestay can enjoy a vegetarian breakfast.",Fabulous,8.9,14 reviews
Flagship Druvin Hotel,"Electronic City, Bangalore",Travel Sustainable property,Review score,6.3,4 reviews
Treebo Trend Mel's Suites Indiranagar,Bangalore,"Located 4.8 km from The Heritage Centre & Aerospace Museum, Treebo Trend Mel's Suites Indiranagar provides rooms with air conditioning in Bangalore.",Very good,8,12 reviews
City View Room with Attached washroom and Balcony,"Arekere, Bangalore","Situated in Bangalore, 6.7 km from Forum Mall, Koramangala and 8.3 km from ISKCON Hare Krishna Temple, City View Room with Attached washroom and Balcony features accommodation with free WiFi, air...",,,
FabHotel Purple Suites Inn,"HBR Layout, Bangalore","Located within 8 km of Commercial Street and 8.5 km of Chinnaswamy Stadium, FabHotel Purple Suites Inn provides rooms with air conditioning and a private bathroom in Bangalore.",Review score,6.6,40 reviews
Flagship Sunshine Hotel Boarding And Lodging,Bangalore,Travel Sustainable property,Review score,1.5,2 reviews
KIMAYA STAY,Bangalore,"Situated in Bangalore, 2.9 km from Forum Mall, Koramangala, KIMAYA STAY features accommodation with a restaurant, free private parking and a bar.",Review score,5.9,23 reviews
Anuraag,Bangalore,"Situated 6.9 km from ISKCON Hare Krishna Temple, 13 km from Bull Temple and 16 km from Bangalore City Railway Station, Anuraag features accommodation set in Bangalore.",Superb,9.2,4 reviews
FabHotel Kings Suites,"Hennur, Bangalore",Travel Sustainable property,Very good,8.3,7 reviews
Hotel Sagar comforts,Bangalore,"Situated in Bangalore, 17 km from Commercial Street, Hotel Sagar comforts features accommodation with a garden, free private parking, a terrace and a restaurant.",Review score,4,1 review
SQUARE INN,Bangalore,"Situated in Bangalore, 32 km from Indian Institute of Science, Bangalore, SQUARE INN features accommodation with a fitness centre, free private parking, a garden and a terrace.",Review score,6.7,23 reviews
Private room in Lake view 3 BHK apartment,Bangalore,"Featuring lake views, Private room in Lake view 3 BHK apartment offers accommodation with a terrace and a balcony, around 4.8 km from Forum Mall, Koramangala.",Review score,1,1 review
Furnished 4 bed room Row House and free parking,Bangalore,"Offering garden views, Furnished 4 bed room Row House and free parking is an accommodation set in Bangalore, 8 km from Forum Mall, Koramangala and 10 km from The Heritage Centre & Aerospace Museum.",,,
Cheerful Townhouse - Self Checkin & Private Balcony,"HSR Layout, Bangalore","Located in Bangalore, 5.4 km from Forum Mall, Koramangala and 9.4 km from Brigade Road, Cheerful Townhouse - Self Checkin & Private Balcony provides accommodation with amenities such as free WiFi and...",,,
OYO Flagship 80844 Amulya Boarding And Lodging,Bangalore,"Set 28 km from Commercial Street, OYO Flagship 80844 Amulya Boarding And Lodging offers rooms with air conditioning in Bangalore.",Review score,4.6,5 reviews
Super OYO Collection O Executive Stays Basapura,"Electronic City, Bangalore",Travel Sustainable property,Review score,1,1 review
Eco Farm,Bangalore,"Featuring garden views, Eco Farm features accommodation with a terrace and a balcony, around 44 km from Indian Institute of Science, Bangalore.",Superb,9,1 review
Dera Jaipur Homestay,"Bani Park, Jaipur",Travel Sustainable property,Superb,9.4,133 reviews
Mahal Khandela - A Heritage Hotel and Spa,"Bani Park, Jaipur",Travel Sustainable property,Good,7.7,125 reviews
Umaid Bhawan - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",Travel Sustainable property,Very good,8.1,917 reviews
Laxmi Palace Heritage Boutique Hotel,"Bani Park, Jaipur",Travel Sustainable property,Very good,8.2,724 reviews
"Zone By The Park , Bani Park Jaipur","Bani Park, Jaipur","Located in the culturally-rich Indian state of Jaipur, Zone By The Park, Bani Park Jaipur offers a spa & wellness centre.",Good,7.2,234 reviews
Nirbana Palace - A Heritage Hotel and Spa,"Bani Park, Jaipur","Featuring a bar, Nirbana Palace - A Heritage Hotel and Spa is set in Jaipur in the Rajasthan region, 1.2 km from Jaipur Railway Station and 3.3 km from City Palace.",Good,7.7,348 reviews
Umaid Mahal - A Heritage Style Boutique Hotel,"Bani Park, Jaipur",Travel Sustainable property,Very good,8,865 reviews
Gems Suites,"Bani Park, Jaipur","Set in Jaipur in the Rajasthan region, with Jaipur Railway Station nearby, Gems Suites offers accommodation with free WiFi and free private parking.",Superb,9,53 reviews
WelcomHeritage Traditional Haveli,"Bani Park, Jaipur","Offering outdoor pool and a spa and wellness centre, Traditional Heritage Haveli is located at Bani Park in the centre of Jaipur. It offers free WiFi, free parking and a 24-hour front desk.",Fabulous,8.6,325 reviews
Madhuban - A Heritage Home,"Bani Park, Jaipur","Offering an outdoor swimming pool, Hotel Madhuban - A Heritage Home is located in Jaipur. The Jaipur Railway Station and the Jaipur Bus Station are 2 km away. Free WiFi access is available.",Very good,8.4,128 reviews
Shahpura House,"Bani Park, Jaipur",Travel Sustainable property,Very good,8.2,419 reviews
Hotel H R Palace,"Bani Park, Jaipur",Travel Sustainable property,Very good,8.3,613 reviews
Nirwana Hometel Jaipur- A Sarovar Hotel,"Bani Park, Jaipur",Travel Sustainable property,Good,7.6,131 reviews
Hotel Magenta Jaipur,"Bani Park, Jaipur",Travel Sustainable property,Good,7.1,256 reviews
Blue King,"Bani Park, Jaipur","In a prime location in the Bani Park district of Jaipur, Blue King is located 1.6 km from Jaipur Railway Station, 3.5 km from City Palace and 3.6 km from Jantar Mantar, Jaipur.",Very good,8.5,133 reviews
"Hotel Jaipur House, Bani Park","Bani Park, Jaipur","Situated in Jaipur, 3.6 km from Jaipur Railway Station and 3.6 km from City Palace, Hotel Jaipur House, Bani Park features accommodation with free WiFi and a garden with a terrace and garden views.",Very good,8.1,19 reviews
Krishna Palace - A Heritage Hotel,"Bani Park, Jaipur",Travel Sustainable property,Good,7.2,524 reviews
Tara Niwas,"Bani Park, Jaipur",Travel Sustainable property,Superb,9,150 reviews
Hotel Vimal Heritage,"Bani Park, Jaipur","Situated in Jaipur, this hotel is built in Rajasthani Colonial style architecture with oriental stone pillars.",Good,7.7,118 reviews
Sajjan Niwas,"Bani Park, Jaipur",Travel Sustainable property,Good,7.8,278 reviews
Jasvilas,"Bani Park, Jaipur","Offering an outdoor swimming pool, Jasvilas is located just 1.5 km from Jaipur Railway Station. It provides special facilities for differently abled guests.",Superb,9.3,40 reviews
Om Niwas Suite Hotel,"Bani Park, Jaipur",Travel Sustainable property,Fabulous,8.6,63 reviews
KARNI VILAS,"Bani Park, Jaipur","Situated in Jaipur, 1.1 km from Jaipur Railway Station and 3.8 km from City Palace, KARNI VILAS features accommodation with free WiFi, air conditioning and access to a garden with a terrace.",Good,7.4,16 reviews
Milestone 251,"Bani Park, Jaipur","Operating a 24-hour front desk, Milestone 251 is located in Jaipur. It is 1.5 km from Jaipur Railway Station and Local Bus Station. Free Wi-Fi access is available.",Very good,8.5,189 reviews
Hotel Meghniwas,"Bani Park, Jaipur","Located just 1.2 from the Jaipur Junction Bus Station, Hotel Meghniwas offers the facilities and benefits of an outdoor swimming pool. Free WiFi access is available in public areas of the property.",Very good,8.5,33 reviews
FabHotel Royal GM Plaza,"Bani Park, Jaipur",Travel Sustainable property,Very good,8.3,143 reviews
Jaipur Vintage House,"Bani Park, Jaipur",Travel Sustainable property,Exceptional,9.5,8 reviews
Jaipur Bed N Breakfast,"Bani Park, Jaipur","Boasting city views, Jaipur Bed N Breakfast offers accommodation with an outdoor swimming pool and a terrace, around 3.8 km from Jaipur Railway Station.",,,
Hoztel Jaipur,"Bani Park, Jaipur","Featuring free WiFi throughout the property, Hoztel Jaipur offers pet-friendly accommodation in Jaipur, 1.2 km from Sindhi Camp and Jaipur Junction Railway Station.",Fabulous,8.6,196 reviews
Neetu's Home Stay,"Bani Park, Jaipur",Travel Sustainable property,Exceptional,9.6,18 reviews
Treebo Trend The Royal CM,"Bani Park, Jaipur","Featuring 3-star accommodation, Treebo Trend The Royal CM is set in Jaipur, 4 km from Jaipur Railway Station and 4.3 km from City Palace.",Review score,6.9,77 reviews
Hotel Kapish Smart-All Pure Veg,"Bani Park, Jaipur",Travel Sustainable property,Good,7.9,10 reviews
Anuraag Villa,"Bani Park, Jaipur",Travel Sustainable property,Fabulous,8.6,75 reviews
Cozy Shelter By Saira,"Bani Park, Jaipur","Situated within 1.6 km of Jaipur Railway Station, Cozy Shelter By Saira in Jaipur has a number of amenities including a garden, a shared lounge and a bar.",Good,7.2,26 reviews
Spree Hotel Jaipur,"Bani Park, Jaipur",Travel Sustainable property,Good,7.7,24 reviews
Tirthan Grand Riverside,Banjār,"Tirthan Grand Riverside is a 3-star property located in Banjār. Each accommodation at the 3-star hotel has mountain views, and guests can enjoy access to a garden and to a restaurant.",Superb,9.4,7 reviews
ShivAdya Tirthan - Tirthan Valley,Banjār,Travel Sustainable property,Fabulous,8.7,18 reviews
Echor The Brightside Tirthan - A Riverside Hotel,Banjār,Echor The Brightside Tirthan - A Riverside Hotel is a 3-star property situated in Banjār. This 3-star hotel features free WiFi and a garden.,Exceptional,9.7,4 reviews
Mazel Tov Hostel Tirthan,Banjār,Travel Sustainable property,Very good,8.2,18 reviews
Kudrat - A Boutique Homestay- Tirthan Valley,Banjār,Travel Sustainable property,Exceptional,9.6,20 reviews
Tirthan Crest Homestay Tirthan and Jibhi valley,Banjār,"Situated in Banjār, Tirthan Crest Homestay Tirthan and Jibhi valley has a garden, terrace, restaurant, and free WiFi.",Very good,8.3,4 reviews
Rai kuteer and cottages,Banjār,"Boasting a garden, Rai kuteer and cottages is situated in Banjār. The guest house features both free WiFi and free private parking.",,,
Hotel Mansarovar - Tirthan Valley,Banjār,Travel Sustainable property,Very good,8,2 reviews
Swargarohini - A Serene Homestay - Tirthan Valley,Banjār,Travel Sustainable property,Very good,8.4,8 reviews
Pahadi Basera,Banjār,"Situated in Banjār in the Himachal Pradesh region, Pahadi Basera features accommodation with free private parking. Guests can also relax in the garden.",Exceptional,9.9,9 reviews
Ishan Log Huts- Boutique Homestay- since 1999,Banjār,"Set in Banjār, Ishan Log Huts- Boutique Homestay- since 1999 offers accommodation with free WiFi and a garden with a terrace and mountain views. Some units feature a seating area and/or a balcony.",Superb,9,4 reviews
Sharma's Homestay,Banjār,"Featuring mountain views, Sharma's Homestay in Banjār features accommodation, a terrace and a restaurant. A balcony with river views is offered in every unit.",,,
Banjara Retreat and Cottage Sojha,Banjār,"Featuring a garden, Banjara Retreat and Cottage Sojha is located in Banjār. There is a restaurant serving Indian cuisine, and free private parking is available.",Superb,9,1 review
LivingStone Backwater Resort Tirthan Valley,Banjār,"Providing river views, LivingStone Backwater Resort Tirthan Valley in Banjār provides accommodation, a garden and a restaurant.",Fabulous,8.8,4 reviews
The Seraj,Banjār,"Located in Banjār in the Himachal Pradesh region, The Seraj has a terrace and city views. This bed and breakfast features a garden and free private parking.",,,
Sharda Resort-Tirthan Valley,Banjār,"Sharda Resort-Tirthan Valley is situated in Banjār and has a garden, a terrace and a restaurant. Guests can enjoy mountain views.",Exceptional,10,3 reviews
MOZO -Inn&Cafe,Banjār,Travel Sustainable property,Exceptional,10,11 reviews
Doris Mountain Cabins Tirthan,Banjār,Travel Sustainable property,,,
Jujurana Stays,Banjār,"Located in Banjār, Jujurana Stays provides accommodation with free WiFi and a garden with a terrace and river views. There is a fully equipped private bathroom with shower and free toiletries.",,,
Earthlings Backpacker Den,Banjār,"Earthlings Backpacker Den is situated in Banjār and has a garden and a shared lounge. At the hostel, all rooms are equipped with a terrace.",Exceptional,10,3 reviews
HILLTOP Cottage,Banjār,HILLTOP Cottage is situated in Banjār. This apartment has a garden and free private parking.,,,
Heaven Tirthan view home stay sharchi,Banjār,"Located in Banjār in the Himachal Pradesh region, Heaven Tirthan view home stay sharchi provides accommodation with free private parking. A garden and a terrace are featured at the homestay.",,,
Ruhoots Cafe & Homestays,Banjār,Travel Sustainable property,,,
Dahar Heights - A Boutique Homestay,Banjār,"Featuring a garden, Dahar Heights - A Boutique Homestay offers accommodation in Banjār with free WiFi and mountain views. With garden views, this accommodation provides a balcony.",,,
OYO Home Midway Home Stay,Banjār,OYO Home Midway Home Stay is situated in Banjār. Guests staying at this apartment have access to a fully equipped kitchenette. The apartment has a TV.,,,
Water edge Tirthan,Banjār,Water edge Tirthan is situated in Banjār. This homestay has a garden and free private parking. A vegetarian breakfast is available each morning at the homestay.,Very good,8,1 review
"Camp Himalalayan Heritage Gadagusain, jibhi",Banjār,"Set in Banjār in the Himachal Pradesh region, Camp Himalalayan Heritage Gadagusain, jibhi features a balcony and mountain views. This homestay has a garden and free private parking.",,,
Alpine Homestay at Gadagusain,Banjār,Alpine Homestay at Gadagusain is set in Banjār and offers a garden and a terrace. Guests at the homestay can enjoy a vegetarian breakfast.,Exceptional,10,1 review
Tirthan nature lap,Banjār,"Offering mountain views, Tirthan nature lap in Banjār offers accommodation, a garden and a terrace. There is a private bathroom with shower and free toiletries in each unit, along with slippers.",,,
NotOnMap- Laida Village Stay,Banjār,"Featuring mountain views, NotOnMap- Laida Village Stay in Banjār features accommodation, a garden and a terrace. A vegetarian breakfast is available each morning at the homestay.",Exceptional,9.7,7 reviews
WFH TreeSouls FarmStay near Jibhi,Banjār,"Featuring mountain views, WFH TreeSouls FarmStay near Jibhi in Banjār features accommodation, a garden and a terrace.",Superb,9,1 review
Soloyolo Jibhi,Banjār,"Located in Banjār in the Himachal Pradesh region, Soloyolo Jibhi provides accommodation with free private parking.",,,
WFH TreeSouls Farmstay Bahu,Banjār,"WFH TreeSouls Farmstay Bahu is set in Banjār. It has a garden, a terrace, mountain views and free WiFi throughout the property.",Fabulous,8.7,3 reviews
Jibhi Trout Home,Banjār,"Featuring air-conditioned accommodation with a terrace, Jibhi Trout Home is located in Banjār. This homestay features a garden and free private parking.",,,
The Hidden Paradise Resort,Banjār,Travel Sustainable property,,,
Kudrat - A Boutique Homestay- Tirthan Valley,Banjār,Travel Sustainable property,Exceptional,9.6,20 reviews
Echor The Brightside Tirthan - A Riverside Hotel,Banjār,Echor The Brightside Tirthan - A Riverside Hotel is a 3-star property situated in Banjār. This 3-star hotel features free WiFi and a garden.,Exceptional,9.7,4 reviews
LivingStone Backwater Resort Tirthan Valley,Banjār,"Providing river views, LivingStone Backwater Resort Tirthan Valley in Banjār provides accommodation, a garden and a restaurant.",Fabulous,8.8,4 reviews
MOZO -Inn&Cafe,Banjār,Travel Sustainable property,Exceptional,10,11 reviews
ShivAdya Tirthan - Tirthan Valley,Banjār,Travel Sustainable property,Fabulous,8.7,18 reviews
Alpine Homestay at Gadagusain,Banjār,Alpine Homestay at Gadagusain is set in Banjār and offers a garden and a terrace. Guests at the homestay can enjoy a vegetarian breakfast.,Exceptional,10,1 review
Ishan Log Huts- Boutique Homestay- since 1999,Banjār,"Set in Banjār, Ishan Log Huts- Boutique Homestay- since 1999 offers accommodation with free WiFi and a garden with a terrace and mountain views. Some units feature a seating area and/or a balcony.",Superb,9,4 reviews
Swargarohini - A Serene Homestay - Tirthan Valley,Banjār,Travel Sustainable property,Very good,8.4,8 reviews
Pahadi Basera,Banjār,"Situated in Banjār in the Himachal Pradesh region, Pahadi Basera features accommodation with free private parking. Guests can also relax in the garden.",Exceptional,9.9,9 reviews
Jujurana Stays,Banjār,"Located in Banjār, Jujurana Stays provides accommodation with free WiFi and a garden with a terrace and river views. There is a fully equipped private bathroom with shower and free toiletries.",,,
Anahata Organic Living,Banjār,Anahata Organic Living is situated in Banjār and offers a terrace. This homestay has a garden and free private parking.,,,
Green Himalayan Homestay,Banjār,"Situated in Banjār in the Himachal Pradesh region, Green Himalayan Homestay has a garden. The property features mountain views. The nearest airport is Kullu–Manali Airport, 48 km from the homestay.",,,
Dahar Heights - A Boutique Homestay,Banjār,"Featuring a garden, Dahar Heights - A Boutique Homestay offers accommodation in Banjār with free WiFi and mountain views. With garden views, this accommodation provides a balcony.",,,
Foggy Forest,Banjār,"Foggy Forest features garden views, free WiFi and free private parking, located in Banjār. There is a private bathroom with shower and free toiletries in each unit, along with slippers.",Exceptional,10,1 review
Tirthan nature lap,Banjār,"Offering mountain views, Tirthan nature lap in Banjār offers accommodation, a garden and a terrace. There is a private bathroom with shower and free toiletries in each unit, along with slippers.",,,
Tirthan Height,Banjār,Tirthan Height is located in Banjār and offers a terrace. This homestay features a garden and free private parking. Towels and bed linen are provided in the homestay.,,,
Tirthan Bliss - Into the Wild - Cafe and Stays,Banjār,"Situated in Banjār in the Himachal Pradesh region, Tirthan Bliss - Into the Wild - Cafe and Stays features a terrace and city views. This bed and breakfast has a garden and free private parking.",Exceptional,10,7 reviews
The Seraj,Banjār,"Located in Banjār in the Himachal Pradesh region, The Seraj has a terrace and city views. This bed and breakfast features a garden and free private parking.",,,
FOGGY FOREST,Banjār,"Offering free WiFi and mountain views, FOGGY FOREST is an accommodation located in Banjār. This homestay features a garden and free private parking.",,,
NotOnMap- Laida Village Stay,Banjār,"Featuring mountain views, NotOnMap- Laida Village Stay in Banjār features accommodation, a garden and a terrace. A vegetarian breakfast is available each morning at the homestay.",Exceptional,9.7,7 reviews
